ID,SMILES
pept1,CNCC=O.CN[C@@H](C)C=O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CO.CN[C@H](C=O)CO.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)Cc1ccccc1
pept1,N([C@@H](CCSC)C=O)C.C([C@@H](NC)CO)=O.O=C[C@H](CC(C)C)NC.C(CC[C@H](NC)C=O)NC(=N)N.c1(C[C@@H](C=O)NC)ccccc1.c1c(C[C@@H](C=O)NC)ccc(O)c1.C(C[C@H](NC)C=O)SC.C[C@@H](C=O)NC.C(=O)[C@@H](NC)CCSC.CN[C@@H](C(C)C)C=O.N(CC=O)C.CN[C@H](C=O)CO.CN[C@@H](C(C)C)C=O
pept1,C([C@@H](C=O)NC)CSC.C([C@H](NC)C=O)CSC.C(C[C@H](NC)C=O)SC.CN[C@@H](CCCNC(=N)N)C=O.CC([C@H](NC)C=O)C.CC(C)[C@H](NC)C=O.N(C)[C@H](C=O)C.[C@H](CC(C)C)(C=O)NC.OC[C@H](NC)C=O.[C@H](NC)(Cc1ccc(O)cc1)C=O.[C@H](NC)(Cc1ccccc1)C=O.N([C@@H](CO)C=O)C.CNCC=O
pept1,C([C@H](NC)C=O)CCNC(N)=N.[C@H](C=O)(NC)Cc1ccc(O)cc1.C(=O)[C@@H](NC)C(C)C.C(=O)CNC.N(C)[C@H](C=O)CC(C)C.CSCC[C@H](NC)C=O.C([C@@H](NC)CCSC)=O.[C@H](Cc1ccccc1)(C=O)NC.N([C@H](C=O)C)C.N([C@@H](CO)C=O)C.N(C)[C@H](C=O)C(C)C.O=C[C@H](CCSC)NC.OC[C@@H](C=O)NC
pept1,[C@@H](C(C)C)(NC)C=O.O=C[C@@H](NC)CCSC.C(C[C@@H](C=O)NC)CNC(N)=N.O=CCNC.OC[C@H](NC)C=O.C([C@@H](NC)CCSC)=O.c1cccc(C[C@@H](C=O)NC)c1.C(=O)[C@@H](NC)CO.C(c1ccc(O)cc1)[C@H](NC)C=O.N([C@@H](CC(C)C)C=O)C.C(CSC)[C@H](NC)C=O.C(=O)[C@H](C)NC.C(=O)[C@@H](NC)C(C)C
pept1,C([C@H](Cc1ccc(O)cc1)NC)=O.O=C[C@@H](NC)CCSC.N(C)[C@H](C=O)CCSC.O=C[C@@H](NC)CCCNC(=N)N.[C@H](C)(C=O)NC.C(CSC)[C@@H](C=O)NC.N(C)CC=O.C(=O)[C@H](C(C)C)NC.CN[C@@H](Cc1ccccc1)C=O.CC(C)C[C@@H](C=O)NC.N(C)[C@H](C=O)CO.N([C@@H](C(C)C)C=O)C.O=C[C@H](CO)NC
pept1,C([C@H](NC)C=O)CSC.O=C[C@@H](NC)CCSC.[C@@H](CC(C)C)(NC)C=O.OC[C@H](NC)C=O.CC(C)[C@@H](C=O)NC.c1cc(O)ccc1C[C@H](NC)C=O.c1ccccc1C[C@@H](C=O)NC.CNCC=O.NC(NCCC[C@H](NC)C=O)=N.C(O)[C@@H](C=O)NC.C([C@@H](NC)C)=O.CN[C@@H](CCSC)C=O.CN[C@H](C=O)C(C)C
pept1,C(SC)C[C@@H](C=O)NC.C(C)([C@H](NC)C=O)C.C(O)[C@H](NC)C=O.C(CNC)=O.c1ccccc1C[C@@H](C=O)NC.C([C@H](C)NC)=O.C(C)(C)[C@H](NC)C=O.C(=O)[C@H](Cc1ccc(O)cc1)NC.C(C[C@H](NC)C=O)SC.CN[C@@H](CCSC)C=O.[C@@H](NC)(C=O)CC(C)C.NC(NCCC[C@@H](C=O)NC)=N.[C@@H](C=O)(CO)NC
pept1,C([C@H](CCSC)NC)=O.c1c(C[C@@H](C=O)NC)cccc1.C(=O)[C@H](Cc1ccc(O)cc1)NC.CN[C@H](C=O)C.C(=O)CNC.C(=O)[C@@H](NC)CO.C(=O)[C@@H](NC)CCSC.C(C[C@@H](C=O)NC)(C)C.C(C[C@H](NC)C=O)CNC(=N)N.C(=O)[C@H](CCSC)NC.CC([C@H](NC)C=O)C.O=C[C@H](C(C)C)NC.C([C@H](CO)NC)=O
pept1,N(C)[C@@H](CCSC)C=O.C(=O)[C@@H](NC)C(C)C.C([C@@H](NC)CCSC)=O.CC([C@@H](C=O)NC)C.c1c(C[C@H](NC)C=O)ccc(O)c1.CC(C[C@H](NC)C=O)C.C(CNC)=O.C(C[C@H](NC)C=O)SC.C(=N)(NCCC[C@H](NC)C=O)N.N(C)[C@H](C=O)CO.CN[C@H](C=O)CO.c1cccc(C[C@H](NC)C=O)c1.CN[C@H](C=O)C
