ID,ID_org,SMILES,Monomer_number,Monomer_number_in_main_chain,shape,permeability,Substructure-1,Substructure-2,Substructure-3,Substructure-4,Substructure-5,Substructure-6,Substructure-7,Substructure-8,Substructure-9,Substructure-10,Substructure-11,Substructure-12,Substructure-13,Substructure-14,Substructure-15
pept1,pept1,CN[C@H](C=O)CC(C)C.CN[C@H](C=O)C(C)C.CNCC=O.CN[C@@H](C)C=O.CN[C@H](C=O)CCSC.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)C(C)C,8,8,Unknown,0,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)C(C)C,CNCC=O,CN[C@@H](C)C=O,CN[C@H](C=O)CCSC,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@H](C=O)C(C)C,,,,,,,
pept2,pept2,CN[C@@H](C)C=O.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CO.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CCSC.CN1CCC[C@H]1C=O.CN1CCC[C@H]1C=O,9,9,Unknown,0,CN[C@@H](C)C=O,,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)CO,CN[C@H](C=O)C(C)C,CN[C@H](C=O)CCSC,CN1CCC[C@H]1C=O,CN1CCC[C@H]1C=O,,,,,,
pept3,pept3,CNCC=O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CO.CN1CCC[C@H]1C=O.CN[C@H](C=O)Cc1ccc(O)cc1,10,10,Unknown,0,CNCC=O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CN[C@@H](C)C=O,CN[C@H](C=O)CC(C)C,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)CCSC,CN[C@H](C=O)CO,CN1CCC[C@H]1C=O,CN[C@H](C=O)Cc1ccc(O)cc1,,,,,
pept4,pept4,CN[C@H](C=O)CCSC.CN1CCC[C@H]1C=O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CC(C)C.CN[C@@H](C)C=O.CN[C@H](C=O)Cc1ccc(O)cc1.CNCC=O.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CO,11,11,Unknown,0,CN[C@H](C=O)CCSC,CN1CCC[C@H]1C=O,CN[C@H](C=O)C(C)C,CN[C@H](C=O)CC(C)C,CN[C@@H](C)C=O,CN[C@H](C=O)Cc1ccc(O)cc1,,CNCC=O,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CO,,,,,
pept5,pept5,CC[C@H](C)[C@@H](C=O)NC.CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CNCC=O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CN1CCC[C@H]1C=O.CN[C@H](C=O)CCSC.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)CO.CN[C@H](C=O)CC(C)C,12,12,Unknown,0,CC[C@H](C)[C@@H](C=O)NC,CN[C@@H](C)C=O,CN[C@H](C=O)CC(C)C,CNCC=O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CN1CCC[C@H]1C=O,CN[C@H](C=O)CCSC,,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@H](C=O)CO,CN[C@H](C=O)CC(C)C,,,
pept6,pept6,CN[C@H](C=O)C(C)C.CN[C@H](C=O)CO.CN[C@H](C=O)CCSC.CN[C@H](C=O)CC(C)C.CN[C@@H](C)C=O.CN[C@H](C=O)Cc1ccc(O)cc1.CNCC=O.CC[C@H](C)[C@@H](C=O)NC.CN1CCC[C@H]1C=O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CN[C@H](C=O)CCSC,13,13,Unknown,0,CN[C@H](C=O)C(C)C,CN[C@H](C=O)CO,CN[C@H](C=O)CCSC,,CN[C@H](C=O)CC(C)C,CN[C@@H](C)C=O,CN[C@H](C=O)Cc1ccc(O)cc1,CNCC=O,CC[C@H](C)[C@@H](C=O)NC,CN1CCC[C@H]1C=O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CN[C@H](C=O)CCSC,,
pept7,pept7,CNCC=O.CN[C@H](C=O)Cc1ccccc1.CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)CCSC.CN1CCC[C@H]1C=O.CN[C@H](C=O)CO.CN[C@H](C=O)C(C)C.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CO,14,14,Unknown,0,CNCC=O,CN[C@H](C=O)Cc1ccccc1,CN[C@@H](C)C=O,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@H](C=O)CCSC,CN1CCC[C@H]1C=O,,CN[C@H](C=O)CO,CN[C@H](C=O)C(C)C,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CO,
pept8,pept8,CN[C@@H](C)C=O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CCSC.CN1CCC[C@H]1C=O.CN[C@H](C=O)Cc1ccc(O)cc1.CNCC=O.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CO.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CCCNC(=N)N.CN[C@@H](C)C=O,15,15,Unknown,0,CN[C@@H](C)C=O,,CN[C@H](C=O)C(C)C,CN[C@H](C=O)CCSC,CN1CCC[C@H]1C=O,CN[C@H](C=O)Cc1ccc(O)cc1,CNCC=O,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)CO,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CCCNC(=N)N,CN[C@@H](C)C=O
pept9,pept9,CN[C@H](C=O)CC(C)C.CN[C@H](C=O)C(C)C.CNCC=O.CN[C@@H](C)C=O.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)CCSC.CN1CCC[C@H]1C=O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CN[C@H](C=O)CO.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)Cc1ccc(O)cc1,15,15,Unknown,0,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)C(C)C,CNCC=O,CN[C@@H](C)C=O,,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@H](C=O)CCSC,CN1CCC[C@H]1C=O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CN[C@H](C=O)CO,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CCCNC(=N)N,CN[C@H](C=O)Cc1ccc(O)cc1
pept10,pept10,CNCC=O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CN[C@H](C=O)CCSC.CN1CCC[C@H]1C=O.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CO.CN[C@H](C=O)C(C)C.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)CCC(N)=O.CN[C@H](C=O)CO,16,16,Unknown,0,CNCC=O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CN[C@H](C=O)CCSC,CN1CCC[C@H]1C=O,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@@H](C)C=O,,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)CO,CN[C@H](C=O)C(C)C,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CCCNC(=N)N,CN[C@H](C=O)CCC(N)=O
