ID,SMILES
pept1,CN[C@@H](C)C=O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CCC(N)=O.CN[C@H](C=O)CCCCN.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)CCSC.CN[C@H](C=O)[C@@H](C)OC
pept1,O=C[C@H](CCCNC(N)=N)NC.[C@@H](CCC(=O)N)(NC)C=O.O([C@H](C)[C@@H](C=O)NC)C.CSCC[C@H](NC)C=O.[C@H](CC(C)C)(C=O)NC.CC([C@H](NC)C=O)C.C([C@H](CCCCN)NC)=O.[C@@H](C)(NC)C=O
pept1,CO[C@H](C)[C@H](NC)C=O.C(C[C@H](NC)C=O)SC.C(C)(C)C[C@@H](C=O)NC.C([C@H](NC)C=O)CCNC(=N)N.NC(CC[C@@H](C=O)NC)=O.N([C@@H](C(C)C)C=O)C.C(=O)[C@H](C)NC.C(CCN)C[C@@H](C=O)NC
pept1,O=C[C@H](CC(C)C)NC.CSCC[C@H](NC)C=O.C(CN)CC[C@H](NC)C=O.N([C@H](C=O)C)C.[C@H](C(C)C)(C=O)NC.C(C[C@H](NC)C=O)C(=O)N.O=C[C@H]([C@H](OC)C)NC.N(C(=N)N)CCC[C@H](NC)C=O
pept1,CN[C@@H](CCCNC(=N)N)C=O.C(CCC[C@@H](C=O)NC)N.C([C@@H](NC)C)=O.N([C@H](C=O)[C@H](OC)C)C.C(=O)[C@H](CCC(N)=O)NC.CN[C@H](C=O)C(C)C.C([C@@H](C=O)NC)CSC.C(=O)[C@H](CC(C)C)NC
pept1,S(CC[C@H](NC)C=O)C.C(CNC(=N)N)C[C@H](NC)C=O.O=C[C@@H](NC)CCCCN.CC(C)C[C@H](NC)C=O.N([C@@H](C)C=O)C.N(C)[C@H](C=O)[C@H](OC)C.CN[C@@H](C(C)C)C=O.C(=O)(CC[C@@H](C=O)NC)N
pept1,C(=O)[C@@H](NC)CCC(N)=O.C[C@@H](C=O)NC.C([C@@H](NC)CCSC)=O.CN[C@H](C=O)C(C)C.N([C@@H](CCCNC(=N)N)C=O)C.C(CC[C@@H](C=O)NC)CN.CN[C@@H](CC(C)C)C=O.O=C[C@H]([C@@H](C)OC)NC
pept1,CN[C@@H](CCCNC(=N)N)C=O.C(=O)[C@@H](NC)[C@@H](C)OC.O=C(N)CC[C@H](NC)C=O.[C@H](NC)(C(C)C)C=O.CN[C@@H](CCSC)C=O.N([C@H](C=O)CCCCN)C.C([C@H](NC)C=O)C(C)C.CN[C@@H](C)C=O
pept1,C(=O)[C@@H](NC)CCCCN.[C@@H](CC(C)C)(NC)C=O.CN[C@@H](CCCNC(=N)N)C=O.N([C@H](C=O)CCSC)C.[C@@H](C)([C@@H](C=O)NC)OC.O=C(N)CC[C@@H](C=O)NC.CN[C@@H](C)C=O.CC(C)[C@@H](C=O)NC
pept1,[C@H]([C@H](OC)C)(C=O)NC.C[C@@H](C=O)NC.C(CCNC(N)=N)[C@@H](C=O)NC.[C@H](NC)(C(C)C)C=O.CN[C@@H](CCSC)C=O.C(=O)[C@@H](NC)CC(C)C.C([C@H](CCCCN)NC)=O.C(C(=O)N)C[C@@H](C=O)NC
pept1,O=C[C@@H](NC)CCSC.CN[C@H](C=O)CCCCN.O=C(N)CC[C@H](NC)C=O.[C@H](NC)(CC(C)C)C=O.C(=O)[C@@H](NC)CCCNC(=N)N.C[C@H]([C@@H](C=O)NC)OC.[C@@H](NC)(C=O)C(C)C.C[C@@H](C=O)NC
pept1,C([C@@H](C=O)NC)C(C)C.S(CC[C@H](NC)C=O)C.C(CCN)C[C@H](NC)C=O.O=C[C@@H](NC)CCCNC(=N)N.N(C)[C@@H](CCC(N)=O)C=O.C[C@@H](C=O)NC.[C@H](NC)([C@@H](C)OC)C=O.CN[C@H](C=O)C(C)C
pept1,C(CC(=O)N)[C@H](NC)C=O.C([C@H](C(C)C)NC)=O.[C@H](C=O)(NC)CCCNC(=N)N.N(C)[C@H](C=O)CCCCN.CC(C[C@@H](C=O)NC)C.CN[C@@H]([C@@H](C)OC)C=O.N([C@H](C=O)C)C.C([C@@H](C=O)NC)CSC
pept1,[C@H](CCCCN)(C=O)NC.[C@@H](C=O)(C(C)C)NC.N([C@@H](CCSC)C=O)C.C(=O)[C@H](CC(C)C)NC.C(=N)(N)NCCC[C@H](NC)C=O.C([C@@H](C=O)NC)CC(N)=O.N([C@@H]([C@@H](C)OC)C=O)C.C(=O)[C@@H](NC)C
