ID,ID_org,SMILES,Monomer_number,Monomer_number_in_main_chain,shape,permeability,Substructure-1,Substructure-2,Substructure-3,Substructure-4,Substructure-5,Substructure-6,Substructure-7,Substructure-8
pept1,seq_1_MKALVQTR,CN[C@H](C=O)CCSC.CN[C@H](C=O)CCCCN.CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CCC(N)=O.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CCCNC(=N)N,8,8,Unknown,0,CN[C@H](C=O)CCSC,CN[C@H](C=O)CCCCN,CN[C@@H](C)C=O,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)C(C)C,CN[C@H](C=O)CCC(N)=O,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CCCNC(=N)N
pept2,seq_2_GFYILSPD,CNCC=O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1ccc(O)cc1.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CO.CN1CCC[C@H]1C=O.CN[C@H](C=O)CC(=O)O,8,8,Unknown,0,CNCC=O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1ccc(O)cc1,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)CO,CN1CCC[C@H]1C=O,CN[C@H](C=O)CC(=O)O
pept3,seq_3_QWERTYIP,CN[C@H](C=O)CCC(N)=O.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CN[C@H](C=O)CCC(=O)O.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)Cc1ccc(O)cc1.CC[C@H](C)[C@@H](C=O)NC.CN1CCC[C@H]1C=O,8,8,Unknown,0,CN[C@H](C=O)CCC(N)=O,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CN[C@H](C=O)CCC(=O)O,CN[C@H](C=O)CCCNC(=N)N,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)Cc1ccc(O)cc1,CC[C@H](C)[C@@H](C=O)NC,CN1CCC[C@H]1C=O
pept4,seq_4_ALMDFKQS,CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CCSC.CN[C@H](C=O)CC(=O)O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)CCCCN.CN[C@H](C=O)CCC(N)=O.CN[C@H](C=O)CO,8,8,Unknown,0,CN[C@@H](C)C=O,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)CCSC,CN[C@H](C=O)CC(=O)O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)CCCCN,CN[C@H](C=O)CCC(N)=O,CN[C@H](C=O)CO
pept5,seq_5_VIRNSTQA,CN[C@H](C=O)C(C)C.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)CCCNC(=N)N.CN[C@H](C=O)CC(N)=O.CN[C@H](C=O)CO.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CCC(N)=O.CN[C@@H](C)C=O,8,8,Unknown,0,CN[C@H](C=O)C(C)C,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)CCCNC(=N)N,CN[C@H](C=O)CC(N)=O,CN[C@H](C=O)CO,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CCC(N)=O,CN[C@@H](C)C=O
pept6,seq_6_LPKMGHFW,CN[C@H](C=O)CC(C)C.CN1CCC[C@H]1C=O.CN[C@H](C=O)CCCCN.CN[C@H](C=O)CCSC.CNCC=O.CN[C@H](C=O)Cc1c[nH]cn1.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12,8,8,Unknown,0,CN[C@H](C=O)CC(C)C,CN1CCC[C@H]1C=O,CN[C@H](C=O)CCCCN,CN[C@H](C=O)CCSC,CNCC=O,CN[C@H](C=O)Cc1c[nH]cn1,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12
pept7,seq_7_TSYQALDI,CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CO.CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@H](C=O)CCC(N)=O.CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CC(=O)O.CC[C@H](C)[C@@H](C=O)NC,8,8,Unknown,0,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CO,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@H](C=O)CCC(N)=O,CN[C@@H](C)C=O,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)CC(=O)O,CC[C@H](C)[C@@H](C=O)NC
pept8,seq_8_NFWKPLAR,CN[C@H](C=O)CC(N)=O.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12.CN[C@H](C=O)CCCCN.CN1CCC[C@H]1C=O.CN[C@H](C=O)CC(C)C.CN[C@@H](C)C=O.CN[C@H](C=O)CCCNC(=N)N,8,8,Unknown,0,CN[C@H](C=O)CC(N)=O,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12,CN[C@H](C=O)CCCCN,CN1CCC[C@H]1C=O,CN[C@H](C=O)CC(C)C,CN[C@@H](C)C=O,CN[C@H](C=O)CCCNC(=N)N
pept9,seq_9_HGDVQMIT,CN[C@H](C=O)Cc1c[nH]cn1.CNCC=O.CN[C@H](C=O)CC(=O)O.CN[C@H](C=O)C(C)C.CN[C@H](C=O)CCC(N)=O.CN[C@H](C=O)CCSC.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)[C@@H](C)OC,8,8,Unknown,0,CN[C@H](C=O)Cc1c[nH]cn1,CNCC=O,CN[C@H](C=O)CC(=O)O,CN[C@H](C=O)C(C)C,CN[C@H](C=O)CCC(N)=O,CN[C@H](C=O)CCSC,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)[C@@H](C)OC
pept10,seq_10_YALSPKFW,CN[C@H](C=O)Cc1ccc(O)cc1.CN[C@@H](C)C=O.CN[C@H](C=O)CC(C)C.CN[C@H](C=O)CO.CN1CCC[C@H]1C=O.CN[C@H](C=O)CCCCN.CN[C@H](C=O)Cc1ccccc1.CN[C@H](C=O)Cc1c[nH]c2ccccc12,8,8,Unknown,0,CN[C@H](C=O)Cc1ccc(O)cc1,CN[C@@H](C)C=O,CN[C@H](C=O)CC(C)C,CN[C@H](C=O)CO,CN1CCC[C@H]1C=O,CN[C@H](C=O)CCCCN,CN[C@H](C=O)Cc1ccccc1,CN[C@H](C=O)Cc1c[nH]c2ccccc12
pept11,seq_11_RIMQDTLA,CN[C@H](C=O)CCCNC(=N)N.CC[C@H](C)[C@@H](C=O)NC.CN[C@H](C=O)CCSC.CN[C@H](C=O)CCC(N)=O.CN[C@H](C=O)CC(=O)O.CN[C@H](C=O)[C@@H](C)OC.CN[C@H](C=O)CC(C)C.CN[C@@H](C)C=O,8,8,Unknown,0,CN[C@H](C=O)CCCNC(=N)N,CC[C@H](C)[C@@H](C=O)NC,CN[C@H](C=O)CCSC,CN[C@H](C=O)CCC(N)=O,CN[C@H](C=O)CC(=O)O,CN[C@H](C=O)[C@@H](C)OC,CN[C@H](C=O)CC(C)C,CN[C@@H](C)C=O
