ID,Symbol,SMILES,MolWt
1,G,CNCC=O,73.095
3,A,CN[C@@H](C)C=O,87.12199999999999
15,S,CN[C@H](C=O)CO,103.121
18,P,CN1CCC[C@H]1C=O,113.15999999999998
23,V,CN[C@H](C=O)C(C)C,115.17599999999999
56,I,CC[C@H](C)[C@@H](C=O)NC,129.20299999999997
50,L,CN[C@H](C=O)CC(C)C,129.20299999999997
64,N,CN[C@H](C=O)CC(N)=O,130.14700000000002
388,Sub92,CN[C@H](C=O)CC(=O)O,131.131
70,T,CN[C@H](C=O)[C@@H](C)OC,131.17499999999998
86,Q,CN[C@H](C=O)CCC(N)=O,144.174
389,Sub93,CN[C@H](C=O)CCCCN,144.218
390,Sub94,CN[C@H](C=O)CCC(=O)O,145.15800000000002
97,M,CN[C@H](C=O)CCSC,147.243
99,H,CN[C@H](C=O)Cc1c[nH]cn1,153.185
123,F,CN[C@H](C=O)Cc1ccccc1,163.22
142,R,CN[C@H](C=O)CCCNC(=N)N,172.23200000000003
163,Y,CN[C@H](C=O)Cc1ccc(O)cc1,179.219
206,W,CN[C@H](C=O)Cc1c[nH]c2ccccc12,202.257
