$File,SMILES,mol_charged,ASA,ASA+,ASA-,ASA_H,ASA_P,CASA+,CASA-,DASA,DCASA,dens,dipole,E,E_ang,E_ele,E_nb,E_oop,E_sol,E_stb,E_str,E_strain,E_tor,E_vdw,FASA+,FASA-,FASA_H,FASA_P,FCASA+,FCASA-,glob,npr1,npr2,pmi,pmi1,pmi2,pmi3,rgyr,std_dim1,std_dim2,std_dim3,vol,VSA,vsurf_A,vsurf_CP,vsurf_CW1,vsurf_CW2,vsurf_CW3,vsurf_CW4,vsurf_CW5,vsurf_CW6,vsurf_CW7,vsurf_CW8,vsurf_D1,vsurf_D2,vsurf_D3,vsurf_D4,vsurf_D5,vsurf_D6,vsurf_D7,vsurf_D8,vsurf_DD12,vsurf_DD13,vsurf_DD23,vsurf_DW12,vsurf_DW13,vsurf_DW23,vsurf_EDmin1,vsurf_EDmin2,vsurf_EDmin3,vsurf_EWmin1,vsurf_EWmin2,vsurf_EWmin3,vsurf_G,vsurf_HB1,vsurf_HB2,vsurf_HB3,vsurf_HB4,vsurf_HB5,vsurf_HB6,vsurf_HB7,vsurf_HB8,vsurf_HL1,vsurf_HL2,vsurf_ID1,vsurf_ID2,vsurf_ID3,vsurf_ID4,vsurf_ID5,vsurf_ID6,vsurf_ID7,vsurf_ID8,vsurf_IW1,vsurf_IW2,vsurf_IW3,vsurf_IW4,vsurf_IW5,vsurf_IW6,vsurf_IW7,vsurf_IW8,vsurf_R,vsurf_S,vsurf_V,vsurf_W1,vsurf_W2,vsurf_W3,vsurf_W4,vsurf_W5,vsurf_W6,vsurf_W7,vsurf_W8,vsurf_Wp1,vsurf_Wp2,vsurf_Wp3,vsurf_Wp4,vsurf_Wp5,vsurf_Wp6,vsurf_Wp7,vsurf_Wp8,ID
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,463.961,355.34439,108.61662,295.86319,168.09781,7337.1509,2242.7158,246.72778,5094.4351,3.4394922,3.1939414,7161184300000.0,16.566256,-101.06856,7161184300000.0,0.050198194,166.63692,0,36.709763,7161184300000.0,54.838013,7161184300000.0,0.7658928,0.23410721,0.63768977,0.36231023,15.814155,4.8338456,0.21320021,0.30488744,0.90391791,6872.2466,1897.1898,5624.7119,6222.5913,2.5336552,2.3066285,1.1335822,1.0650536,311.25,274.73187,0.61075389,0.021820735,3.1926258,2.9653709,2.7518134,2.4228106,2.0921412,1.7252216,1.3823177,1.0894865,778.125,447.5,288.625,193.0,139.625,109.125,85.75,62.0,4.0311289,0.70710677,3.5707142,0.5,0.5,0.70710677,-3.7120988,-3.6947045,-3.5954537,-14.112667,-13.348255,-13.293359,1.1808045,194.75,289.875,312.25,315.75,288.75,245.875,190.25,132.75,1.5630143,1.6334196,0.35185245,0.34294066,0.44341111,0.61880493,0.70031393,0.63452536,0.61439621,0.7091012,0.11602475,0.15869011,0.11273078,0.12771809,0.23817481,0.31479385,0.42498508,0.56266159,1.4438754,388.19138,560.5,1598.5,1253.75,968.375,651.0,451.125,315.25,215.375,140.875,1403.75,963.875,656.125,335.25,162.375,69.375,25.125,8.125,EXT1
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,465.02359,305.63446,159.38913,230.46812,234.55547,6310.7402,3291.0667,146.24533,3019.6736,3.4478002,1.5880477,8492976400000.0,18.559795,1779.5801,8492976400000.0,0.026387272,15.101619,0,36.895302,8492976400000.0,58.599564,8492976400000.0,0.6572451,0.34275493,0.49560523,0.50439477,13.570796,7.0772038,0.20803288,0.32904297,0.87916505,7044.7471,2099.4619,5609.5215,6380.5103,2.5652568,2.2584236,1.1671535,1.030081,310.5,278.21649,0.57385147,0.021656085,3.1932535,2.9529903,2.7191453,2.3996668,2.0654423,1.6684231,1.3388683,0.99497426,809.875,469.75,291.75,195.5,141.25,106.875,81.0,64.0,0.5,0.70710677,0.5,4.6368093,4.0620193,0.70710677,-3.9334388,-3.8799529,-3.8514342,-13.487345,-13.272593,-13.242116,1.1910686,235.625,325.625,342.25,354.875,302.875,232.875,175.75,118.0,1.5694088,1.5997442,0.14405794,0.31227735,0.46912545,0.71268094,0.82934862,0.96224898,0.93811667,0.99427503,0.16429918,0.12161309,0.071528256,0.13784342,0.19417596,0.39578268,0.63242173,0.87523508,1.4486756,401.05597,581.0,1651.875,1283.875,975.125,658.875,457.875,312.75,213.5,135.625,1416.25,958.25,632.875,304.0,155.0,79.875,37.75,17.625,EXT2
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,464.35861,323.73013,140.62848,204.70135,259.65726,6684.3799,2903.697,183.10164,3780.6829,3.3638396,2.5608325,6717425800000.0,19.01642,1203.8313,6717425800000.0,0.053205539,59.82299,0,36.371613,6717425800000.0,59.627171,6717425800000.0,0.69715542,0.30284458,0.440826,0.559174,14.394865,6.2531347,0.21111037,0.3465631,0.87584412,6880.6421,2145.9404,5423.2817,6192.0625,2.5352023,2.2320528,1.2212883,1.0255557,318.25,280.12729,0.97283268,0.018447744,3.1939013,2.967905,2.7410996,2.4215157,2.1048286,1.7504611,1.3545669,0.8873201,704.25,386.875,247.25,169.625,123.625,94.375,73.25,55.5,0.70710677,0.5,0.5,0.5,0.5,0.70710677,-4.6712842,-4.4741712,-4.4285064,-15.589004,-15.168689,-15.089482,1.1795835,203.375,293.25,316.625,314.875,278.875,223.5,163.5,100.5,1.8124368,1.8032424,0.40273276,0.60009146,0.73423469,0.71352333,0.77352566,0.71903032,0.69248259,0.64102745,0.095456526,0.042044464,0.12084273,0.26096559,0.34676817,0.47090763,0.52702612,0.81009841,1.4635146,397.58743,581.875,1625.875,1290.625,983.375,657.375,448.125,305.875,199.5,116.875,1422.5,997.375,666.75,342.5,169.25,82.375,36.0,16.375,EXT3
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,459.63867,335.81631,123.82235,237.71652,221.92213,6933.9351,2556.6838,211.99396,4377.2515,3.5027959,4.7258439,7689743100000.0,16.045555,519.59564,7689743100000.0,0.048850626,114.10751,0,36.820568,7689743100000.0,53.879208,7689743100000.0,0.73060936,0.26939064,0.51718134,0.48281866,15.085622,5.5623775,0.19331427,0.2946865,0.94723946,7167.1411,1884.1476,6056.3989,6393.7358,2.587445,2.2994728,1.1835333,1.0110211,305.625,276.30402,2.0532458,0.022722567,3.1923213,2.9571433,2.7394519,2.392385,2.1189995,1.811175,1.3960644,1.0344871,810.125,475.625,310.0,214.0,156.5,123.75,99.0,74.125,0.5,0.70710677,0.5,1.118034,0.70710677,0.5,-4.1441154,-3.9931548,-3.9782085,-15.42896,-14.718248,-14.255835,1.1955577,206.75,270.25,295.0,301.125,272.875,218.0,161.75,115.125,1.5129032,1.5163552,1.1215044,1.3900516,1.5931147,1.7070603,1.6966838,1.7297162,1.8365117,1.8943796,0.099184386,0.16523032,0.21029443,0.33181441,0.51094943,0.78665888,1.0325197,1.2084428,1.4301805,395.31723,565.375,1631.5,1273.75,977.75,662.25,469.0,324.5,214.875,138.875,1424.75,1003.5,682.75,361.125,196.125,106.5,53.125,23.75,EXT4
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,459.54568,374.60031,84.945389,255.58768,203.95801,7734.7471,1753.9523,289.65494,5980.7949,3.4575438,2.1286383,5305519300000.0,17.376003,902.20813,5305519300000.0,0.026513787,86.337738,0,37.084106,5305519300000.0,53.789467,5305519300000.0,0.81515354,0.18484645,0.5561747,0.4438253,16.831291,3.8167093,0.20183642,0.36568114,0.90988058,6599.2119,2120.9773,5277.3735,5800.0728,2.4828141,2.230145,1.229682,1.0019196,309.625,276.52362,0.85074979,0.019260416,3.1930509,2.967135,2.7308478,2.3585021,2.0500958,1.8205848,1.5385772,1.1077194,733.625,402.125,254.125,180.0,133.5,106.625,86.0,67.75,1.4142135,10.965857,9.8615417,0.5,0.5,1.0,-3.5901268,-3.5284538,-3.4544065,-14.463678,-13.918263,-13.653098,1.1784567,179.75,245.0,265.125,288.375,264.375,224.75,174.125,115.75,1.8155435,1.8444444,0.71274465,0.63281751,0.72910625,0.80501622,0.86217487,0.97983021,1.072498,1.1862805,0.15500791,0.25417528,0.19608504,0.1097499,0.1374803,0.2046786,0.32435539,0.42420831,1.4490072,388.62817,563.125,1601.125,1260.75,965.25,653.75,461.375,332.0,228.5,143.125,1421.375,1015.75,700.125,365.375,197.0,107.25,54.375,27.375,EXT5
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,451.92938,324.13766,127.7917,216.31009,235.61929,6692.7944,2638.6431,196.34596,4054.1514,3.5375199,3.1479421,7373447000000.0,24.609823,-20.826864,7373447000000.0,0.17132565,183.40108,0,41.74099,7373447000000.0,66.972702,7373447000000.0,0.7172308,0.2827692,0.47863692,0.52136308,14.809381,5.8386183,0.19720235,0.30411598,0.95836031,7020.4746,1887.3467,5947.5933,6206.0098,2.5608337,2.3516967,1.1038768,1.044329,302.625,266.47458,1.5546595,0.019723242,3.2419016,3.0158505,2.7883303,2.4981592,2.2656426,1.9268039,1.5597762,1.0997266,748.25,424.0,275.875,192.75,143.625,113.625,90.375,70.0,0.5,0.5,0.70710677,0.70710677,0.86602539,0.5,-5.1420827,-5.0874548,-5.0333114,-13.54476,-13.239928,-13.167077,1.172188,220.375,311.25,324.25,327.25,305.125,252.0,188.625,124.75,1.7521522,1.7392997,0.65325004,0.94030076,1.2269577,1.5249807,1.5862558,1.6494535,1.7114098,1.9033681,0.16147599,0.25518253,0.31193215,0.35980448,0.47438836,0.59746724,0.94224894,1.4281161,1.4532988,384.72818,559.125,1628.625,1294.875,997.375,679.375,483.375,335.25,222.0,134.75,1408.25,983.625,673.125,352.125,178.25,83.25,33.375,10.0,EXT6
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,467.82861,319.26483,148.56378,200.13742,267.69119,6592.1802,3067.5449,170.70105,3524.6353,3.4464128,4.4678268,9535708200000.0,18.329538,360.21515,9535708200000.0,0.045926321,113.30244,0,36.604469,9535708200000.0,55.983608,9535708200000.0,0.68243974,0.31756029,0.42780074,0.57219929,14.091016,6.5569844,0.19502138,0.32198226,0.91359949,6903.187,1988.4791,5642.1538,6175.7412,2.5393524,2.2520022,1.232327,0.99451178,310.625,275.19162,2.4829772,0.021612329,3.1861792,2.9584455,2.7112024,2.350142,2.0140646,1.6210527,1.2779974,0.95893186,722.625,423.625,290.625,211.875,165.0,130.875,105.875,85.375,0.5,0.5,0.70710677,0.70710677,0.86602539,1.118034,-4.8067527,-4.7355199,-4.6447816,-15.130052,-14.353823,-14.019245,1.1852779,219.375,316.125,322.0,306.625,261.5,202.625,153.125,105.5,1.4980645,1.3982301,0.92007512,1.5266057,1.8263803,1.961486,2.109323,2.1608105,2.1921082,2.2912025,0.27135098,0.27971473,0.35702401,0.51424271,0.67905051,0.83072758,0.9388907,1.1890403,1.4575257,400.07867,583.125,1623.75,1288.125,966.25,635.375,435.375,296.25,200.625,127.125,1404.375,972.0,644.25,328.75,173.875,93.625,47.5,21.625,EXT7
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,445.17728,330.33124,114.84603,276.66577,168.51151,6820.6797,2371.3408,215.48523,4449.3389,3.5287745,6.0736675,10405227000000.0,18.617027,254.78737,10405227000000.0,0.048257504,144.94115,0,36.962021,10405227000000.0,51.623795,10405227000000.0,0.7420218,0.2579782,0.62147325,0.37852675,15.321266,5.3267336,0.20412548,0.35477191,0.88000327,6408.8643,2034.8221,5047.3276,5735.5786,2.4467449,2.1990659,1.2564197,0.99354345,303.375,265.15207,2.8521106,0.019651707,3.2258165,2.9886603,2.7626293,2.4561057,2.1011446,1.7675887,1.4249506,1.0467349,732.5,379.0,244.0,172.25,126.75,97.75,76.375,59.625,2.5495098,0.70710677,2.1213202,0.5,0.70710677,0.5,-3.9073615,-3.8072586,-3.7380593,-12.929402,-12.841748,-12.601195,1.1658118,215.75,305.25,328.0,316.25,275.625,231.0,177.75,118.5,1.8176229,1.8156749,1.2277464,1.8310896,2.2624309,2.47328,2.6881645,2.8500209,3.1041489,3.3608644,0.097296648,0.2096813,0.31979293,0.45846209,0.59970611,0.64576155,0.83753765,1.0465506,1.4536947,378.69025,550.5,1591.5,1248.625,956.0,648.5,443.5,312.75,212.25,129.5,1375.75,943.375,628.0,332.25,167.875,81.75,34.5,11.0,EXT8
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,451.38834,305.51691,145.87144,213.25571,238.13264,6308.313,3011.9536,159.64546,3296.3594,3.566987,2.565181,2953410200000.0,19.673721,325.99533,2953410200000.0,0.084389135,147.67361,0,36.960083,2953410200000.0,56.313118,2953410200000.0,0.67683828,0.32316175,0.47244397,0.527556,13.975356,6.6726437,0.20009062,0.30056641,0.9198696,6952.1318,1882.1323,5760.1792,6261.9517,2.5483387,2.2818136,1.1332496,1.0206892,300.125,264.43646,2.8425758,0.01717703,3.2171907,2.9865465,2.767349,2.4669638,2.2492361,1.9094878,1.4984385,1.0547831,712.25,382.5,237.0,158.125,115.625,85.5,67.375,54.625,0.5,0.5,0.70710677,0.5,6.2249498,6.6708322,-3.8707757,-3.6504641,-3.5806928,-13.298627,-13.090066,-12.60207,1.178471,218.5,310.125,343.75,335.375,309.625,245.625,183.625,117.375,2.0453587,2.1027668,1.4626768,1.9046825,2.1128342,2.3983397,2.5548837,2.8684986,3.0924456,3.3638065,0.16103049,0.37909457,0.49196926,0.63130039,0.73410213,0.88314742,0.87737834,0.63720107,1.4463042,387.19379,560.0,1617.5,1280.125,993.625,679.25,484.75,332.5,220.625,134.625,1399.0,970.0,649.875,343.875,175.125,86.875,37.0,17.25,EXT9
C:/Users/MICROSOFT/Documents/nauval_mrnavac/cycpeptmp_standalone/runs/run_20260102_172000_moe/sdf/peptide.sdf,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,S(CC[C@](NC)C=O)C.O=C(N)CC[C@](NC)C=O.O=C[C@@](NC)[C@](OC)C.O=C[C@@](NC)C(C)C.O=C[C@@](NC)CC(C)C.O=C[C@@](NC)CCCNC(=N)N.O=C[C@@](NC)CCCCN.O=C[C@@](NC)C,473.55902,298.12537,175.43364,181.38226,292.17676,6155.6929,3622.3538,122.69173,2533.3389,3.4464128,0.24099413,9234913700000.0,17.982368,406.89627,9234913700000.0,0.03405999,104.56077,0,37.69772,9234913700000.0,56.441372,9234913700000.0,0.62954217,0.37045783,0.38301933,0.61698067,12.998787,7.6492133,0.18713388,0.30780041,0.98896873,7362.4761,1973.3573,6340.4355,6411.1587,2.6224673,2.3639684,1.10267,1.0226284,310.625,279.35364,1.7375546,0.015951054,3.1869681,2.9686534,2.7280672,2.4471991,2.2102466,1.8763828,1.473788,0.98008841,660.75,355.5,226.875,157.625,115.75,87.5,70.0,52.875,2.95804,0.5,2.5495098,10.024969,0.70710677,9.5131493,-3.5592477,-3.4367795,-3.4258475,-14.51724,-14.086313,-14.022779,1.1895291,233.0,352.25,361.75,370.375,335.375,265.25,182.75,115.375,2.1658401,2.1554322,0.54938841,0.9577046,1.3890687,1.6149322,1.8772851,2.053643,2.1612487,2.270787,0.23710747,0.30076993,0.3323555,0.37802115,0.39863005,0.38780814,0.4862155,0.74976403,1.4560431,403.57666,587.625,1648.5,1326.0,1013.625,693.125,491.375,339.75,214.375,128.125,1415.5,973.75,651.875,322.75,156.0,74.5,31.625,12.75,EXT10
